job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
8,3,4,11,1,1,4,0,4,137586
4,16,4,1,2,0,4,2,4,205336
10,7,1,2,2,0,9,0,1,190412
4,4,3,10,4,0,6,0,5,156536
8,5,0,7,3,4,5,2,5,104344
11,20,3,19,3,3,5,1,2,160274
1,9,2,13,1,3,4,1,3,104647
9,7,2,16,9,3,7,0,4,122586
11,14,0,2,4,4,6,0,3,123847
4,15,4,3,1,3,9,1,0,193830
9,17,2,5,4,2,1,1,1,171556
3,13,1,6,5,2,1,1,3,170213
2,16,1,18,5,3,2,1,4,137530
2,3,4,13,8,4,8,2,4,124245
11,4,3,17,8,4,9,1,3,157689
3,6,1,5,5,0,6,1,3,140796
1,8,4,14,7,4,7,0,3,126015
9,4,2,1,3,0,6,2,0,135139
10,17,4,10,1,4,1,1,0,186806
6,2,0,17,0,4,8,1,2,110794
10,20,3,3,3,3,1,0,1,197459
3,14,3,17,0,2,4,0,1,150511
10,20,4,7,2,2,3,0,4,132766
3,20,4,3,9,1,8,2,5,232322
10,15,3,12,6,2,5,0,1,164218
6,18,3,3,0,3,6,0,2,153048
1,10,1,10,5,0,7,1,1,146949
1,5,3,14,0,2,4,0,3,116728
6,18,3,10,0,4,6,2,1,150482
2,19,3,13,5,3,2,2,5,162514
4,9,2,12,0,1,6,0,4,138372
10,8,0,15,2,3,3,0,4,96729
5,7,2,14,5,3,9,0,5,122387
3,0,1,5,7,1,1,2,3,139680
4,10,4,2,4,1,9,2,1,209712
6,19,4,13,7,0,7,1,4,220097
9,3,3,11,4,2,8,0,0,157179
0,16,1,2,2,0,6,2,5,197070
1,20,1,19,1,2,3,2,0,105773
6,18,3,1,2,2,1,0,0,179865
6,10,0,18,7,3,8,2,3,159606
5,16,0,14,7,2,8,0,0,140924
9,15,3,5,8,0,1,1,0,233431
11,1,4,7,2,2,5,1,2,123822
11,18,0,1,2,3,2,0,4,153047
6,13,3,2,8,4,8,2,1,152893
10,8,3,14,2,0,5,0,0,176489
5,17,3,17,7,0,2,0,3,183371
7,9,2,15,2,1,4,0,2,137942
1,12,4,5,5,3,6,2,0,137433
5,20,4,6,8,4,7,1,2,136311
9,18,3,6,5,3,0,2,2,168521
7,7,3,16,5,4,5,0,4,133220
7,0,1,17,0,3,8,2,4,126491
4,4,1,3,2,4,3,2,2,77032
4,8,1,17,6,3,1,0,4,152837
11,17,1,11,7,1,3,2,2,108891
5,3,3,2,3,4,8,1,2,100408
5,14,0,2,4,4,2,2,5,113911
6,10,2,16,3,0,7,2,4,163915
8,6,3,17,7,1,8,2,3,158359
11,12,4,1,3,0,0,2,5,190353
10,17,2,9,8,1,5,2,4,161331
10,10,3,4,2,2,4,1,4,151583
4,10,3,13,1,0,3,0,5,121787
9,19,2,12,2,3,0,1,0,141798
1,13,2,2,3,1,8,0,0,150548
7,17,0,6,2,3,9,2,0,191941
7,3,0,8,0,1,7,2,5,133991
1,10,4,5,5,2,8,0,4,162480
11,6,0,18,4,4,5,1,5,118401
2,4,2,5,2,0,4,1,3,96463
9,16,0,13,5,4,7,1,4,150287
5,18,3,13,2,0,7,1,1,161176
10,10,3,9,3,2,7,0,1,158988
6,20,4,18,7,4,8,1,3,192094
0,4,1,11,2,2,6,2,1,136970
8,5,4,2,2,4,2,0,2,121045
8,12,3,1,0,2,5,1,4,117598
0,0,4,9,4,0,6,0,3,173736
2,6,1,18,8,4,1,1,0,101155
3,12,2,11,8,0,2,2,0,173276
7,19,2,3,5,0,6,1,3,165475
7,3,2,5,7,1,6,0,1,111139
9,16,3,3,8,2,9,1,3,213268
7,12,1,8,9,2,1,2,0,164243
8,4,2,16,7,4,1,1,3,114669
3,19,4,10,7,1,6,1,3,196474
9,15,1,18,3,2,0,1,2,165539
2,13,1,4,8,3,5,2,4,106646
4,16,3,3,6,0,3,2,1,133278
3,6,0,17,4,4,5,0,4,117144
4,10,4,8,3,0,0,1,1,182373
6,10,1,19,5,4,9,0,2,156991
4,13,2,6,5,2,4,0,2,131734
5,11,4,8,2,3,3,1,1,79982
1,1,2,3,9,0,5,2,4,110214
11,17,0,12,7,1,2,2,2,181368
0,16,4,8,7,1,4,2,3,210186
2,16,3,4,9,3,1,1,5,153472
5,14,1,1,9,2,9,2,1,135207
0,5,3,4,9,3,1,1,2,170388
1,4,3,1,1,2,9,2,4,165139
6,20,4,17,9,2,3,1,0,122467
9,3,0,17,0,3,8,0,4,155378
3,14,2,14,3,2,7,0,0,132566
5,3,1,1,3,2,4,2,1,87745
11,12,3,17,5,3,6,2,2,136992
4,3,3,8,4,3,7,0,2,110205
10,11,1,19,9,0,4,0,2,179415
7,19,0,3,1,0,5,1,1,173981
11,16,1,16,4,3,3,2,0,99484
8,16,1,11,6,0,9,0,2,195153
4,2,0,9,2,2,4,2,3,122411
10,7,2,16,4,4,7,1,5,116147
0,1,3,17,7,4,0,1,0,127129
4,15,4,19,8,0,4,2,0,205357
4,9,3,2,3,0,2,2,3,192046
0,14,1,2,9,3,1,2,5,193288
11,14,4,19,5,4,4,1,0,145457
0,8,4,9,1,0,2,0,3,234054
2,1,2,10,6,0,0,1,1,85350
8,10,3,8,5,4,8,2,4,142077
8,18,2,13,0,0,5,1,5,156785
2,10,0,14,0,2,1,0,2,135070
0,14,3,8,9,3,5,2,0,163679
1,14,0,19,1,1,4,2,0,153883
5,4,1,7,4,2,8,2,1,97440
11,18,4,12,1,1,2,2,4,206001
8,14,3,17,0,2,3,0,1,106933
11,15,3,16,8,0,7,2,3,189801
2,7,0,16,4,3,6,1,2,94940
4,6,0,13,6,4,8,0,1,132939
7,18,4,4,5,2,7,2,4,174381
7,8,1,4,3,2,9,1,5,163172
2,4,1,5,1,1,6,0,3,97833
5,2,4,9,5,3,7,2,4,113703
10,12,1,4,8,1,3,1,5,115808
7,4,2,7,1,1,2,0,4,136500
7,13,3,12,7,1,3,0,4,123504
11,16,4,7,0,0,0,0,0,187399
9,15,4,19,2,4,5,1,3,169507
11,19,4,12,1,0,0,1,1,212211
6,4,0,11,6,4,2,0,4,118379
3,0,0,3,2,4,5,0,1,97957
6,13,0,8,4,4,5,1,5,119223
7,14,0,3,9,3,6,2,1,143829
7,2,4,5,4,4,9,2,3,150113
2,3,2,14,8,1,7,1,3,95829
5,7,3,13,3,3,9,0,2,139843
0,7,3,2,9,0,3,0,4,140411
1,8,0,12,0,1,7,0,1,139716
5,3,1,9,8,3,9,1,1,99571
3,5,0,14,7,2,8,2,0,150990
11,0,2,9,4,2,3,1,3,61915
2,13,3,18,8,3,4,2,3,139836
4,8,4,2,8,3,0,0,4,146817
0,13,2,10,7,3,1,2,5,191939
3,12,1,12,7,2,8,0,0,165695
7,11,1,11,6,0,4,0,3,163979
4,7,0,6,9,1,5,0,2,127462
0,3,1,19,1,4,6,2,0,127825
4,16,0,2,5,4,4,0,1,126011
4,6,4,2,5,2,9,2,1,183540
9,9,2,19,1,2,5,1,0,151163
10,8,0,18,7,0,8,1,3,199104
3,20,0,1,4,2,7,1,5,152262
7,10,0,8,9,1,0,0,3,154143
4,5,0,4,4,3,9,1,3,149335
8,7,3,15,1,4,2,1,1,122898
10,3,4,18,0,0,4,2,5,187886
11,2,0,10,4,0,6,2,0,132356
11,3,3,19,6,4,0,0,5,113778
5,5,1,8,5,2,5,2,3,87327
1,14,2,10,3,2,6,0,5,131383
7,1,3,19,3,3,0,1,0,110090
7,7,1,7,1,3,2,1,1,128398
4,13,0,1,5,0,6,2,0,169961
5,16,2,5,5,4,2,1,0,107918
2,19,0,6,6,4,7,0,2,121129
3,19,1,19,7,1,1,2,1,215035
4,16,0,7,1,3,7,1,5,150418
6,11,1,1,1,2,2,0,0,135035
2,13,0,5,9,0,5,2,5,149372
3,7,4,16,4,3,2,2,0,160133
6,11,0,3,1,2,0,0,3,128489
8,10,4,12,3,0,1,1,1,199468
3,16,4,2,4,2,0,0,4,171789
5,9,4,14,4,0,7,0,3,156171
2,13,4,19,6,4,8,0,4,158448
2,0,2,16,9,0,0,0,1,100366
9,15,4,1,8,0,8,1,1,238768
10,7,1,18,5,1,7,0,0,147722
8,7,1,5,7,1,5,2,5,124540
5,3,2,9,4,3,3,2,0,58479
0,6,1,10,8,0,4,0,1,165184
8,6,4,18,8,1,7,2,5,155215
4,16,0,1,4,1,6,2,4,163849
8,10,4,10,6,4,1,1,5,154967
3,8,2,17,8,4,8,0,1,116652
1,18,3,4,7,0,4,2,3,177135
3,16,0,7,7,4,7,2,3,140077
1,5,0,9,4,0,0,1,5,144244
0,4,2,17,1,2,1,0,1,157859
8,8,0,13,1,4,7,1,5,114561
11,8,0,9,4,4,3,1,4,72340
7,8,3,18,3,2,9,2,3,195381
6,1,1,12,9,1,6,0,1,117674
7,17,1,19,2,1,3,2,1,125648
4,14,3,7,9,0,4,2,5,187203
9,7,4,17,9,1,0,2,3,176266
10,7,0,15,4,1,4,2,3,155893
8,18,2,12,7,3,1,2,4,157461
10,4,0,4,4,3,4,2,2,115315
0,4,2,13,6,2,5,1,1,137952
9,19,4,6,2,1,5,0,3,204283
10,20,3,13,8,4,6,1,0,162442
11,5,3,5,1,2,7,0,5,130386
7,18,3,3,8,4,7,1,0,147661
2,2,0,19,3,0,4,0,4,110942
11,4,4,13,3,4,6,1,2,110797
3,0,3,4,8,1,3,0,3,89890
7,6,2,1,0,0,9,2,1,171085
3,18,2,13,9,3,1,2,2,176680
11,1,2,1,5,2,8,1,2,95870
0,4,1,7,2,2,7,2,4,144397
7,11,3,17,1,1,0,1,0,170464
8,6,0,1,8,4,3,2,1,75666
1,0,0,5,1,0,9,2,3,158152
0,20,4,3,3,4,8,2,0,198002
11,0,3,18,6,1,9,1,4,164916
4,16,4,11,9,2,3,0,4,112792
0,16,1,16,1,0,9,0,5,267853
1,18,4,10,1,2,7,2,5,172503
2,4,1,6,6,0,0,0,0,95227
4,7,3,5,9,3,3,2,0,96180
1,3,1,12,6,1,7,1,3,119472
8,5,4,16,4,4,6,0,3,112609
2,10,2,17,5,1,9,2,1,151926
11,12,0,7,8,3,0,2,3,131789
11,1,0,15,9,4,5,1,5,102041
11,3,4,8,9,1,2,1,1,142205
3,3,4,3,8,2,6,2,3,136216
5,2,4,3,4,1,6,2,5,119511
10,17,4,1,5,0,0,2,5,218225
4,7,2,5,8,2,9,2,5,155543
0,14,2,3,2,1,5,2,0,166615
6,19,0,11,8,2,3,2,4,107814
7,10,0,10,8,2,2,1,3,156891
6,0,2,6,1,4,1,2,1,105734
7,16,3,3,3,4,3,2,5,114218
9,4,1,5,8,2,3,1,3,87969
4,18,2,19,0,2,3,1,0,101453
3,18,1,13,5,3,3,0,1,108022
2,5,2,6,8,2,4,2,2,77308
10,4,0,6,8,3,0,2,5,139007
9,20,1,17,5,1,7,1,1,182475
9,1,2,14,1,1,2,1,3,143534
11,7,1,2,1,3,1,2,2,126021
10,14,3,8,1,4,9,2,4,187699
11,0,1,3,5,1,4,1,2,95544
3,17,4,1,1,4,8,1,2,171877
0,10,0,11,7,1,0,2,2,175580
11,7,0,17,1,2,5,0,2,128407
11,2,0,9,5,0,5,0,1,126749
1,4,1,16,5,1,7,2,4,122691
0,7,3,11,7,4,4,2,2,148197
9,10,2,3,2,1,7,2,2,149306
5,1,4,18,1,1,5,2,5,129710
4,15,4,18,4,4,4,1,5,160867
5,14,0,14,0,3,1,1,0,125391
9,12,1,5,9,2,5,2,4,149862
8,9,3,12,2,1,9,0,1,177892
4,6,1,5,6,1,5,2,2,133030
10,7,2,15,7,2,5,2,5,135815
2,15,3,18,7,3,4,2,2,129868
2,3,2,19,3,3,7,2,0,88688
9,12,3,3,4,3,3,1,4,95955
10,9,3,7,1,3,2,2,5,156535
3,10,2,19,0,1,6,0,4,140891
1,1,3,16,3,2,7,2,3,118976
10,18,0,16,8,1,4,2,3,190695
1,2,4,8,6,1,8,0,2,154720
7,1,0,12,2,0,0,1,4,147694
4,2,2,19,9,4,9,1,3,132752
0,7,1,11,1,1,9,0,3,206357
7,16,1,11,2,1,4,0,0,146832
4,5,0,17,1,3,0,1,1,124993
9,12,1,15,8,3,1,0,3,172831
7,12,2,3,9,0,6,1,3,150869
1,12,0,19,3,0,4,1,1,163417
8,8,1,9,4,2,2,0,1,118506
6,11,1,5,2,1,2,1,2,141243
4,16,1,8,4,4,0,1,4,128212
1,6,4,2,3,4,4,0,1,106038
4,10,4,14,3,0,1,2,2,234632
10,5,3,9,6,4,6,2,5,133766
7,15,2,9,2,3,9,1,4,168619
4,1,1,3,7,1,7,2,3,115848
0,1,4,12,1,1,7,1,5,175406
10,15,3,18,5,0,0,2,0,204211
1,5,3,14,4,4,5,0,0,109956
3,10,4,10,9,2,0,0,2,148413
7,5,4,10,2,1,8,2,1,188731
3,14,4,17,6,3,4,2,4,164412
10,10,4,3,2,0,4,1,0,181834
6,6,2,9,3,0,2,2,2,156120
2,5,0,7,2,1,5,2,1,110729
5,2,3,16,8,3,0,0,3,95677
10,20,3,9,8,0,3,2,5,162439
2,1,0,4,3,3,0,1,0,69301
4,10,4,18,6,4,6,2,4,148089
5,7,3,12,6,1,1,2,0,144332
0,9,4,13,8,4,2,2,2,180170
7,6,1,17,5,0,0,1,0,148439
8,3,0,3,1,4,6,0,5,79936
5,17,1,17,5,1,6,0,5,147612
4,1,1,13,1,4,7,2,1,100697
7,14,3,4,7,2,5,2,0,151080
2,13,0,2,4,3,9,0,3,127422
2,0,2,1,2,3,9,1,3,89597
5,12,1,2,5,1,6,2,0,118559
8,2,2,18,1,3,3,1,3,62517
5,9,2,18,6,2,1,1,4,127393
3,8,3,14,4,3,2,1,4,150279
0,18,3,2,0,4,0,1,4,173099
5,7,2,18,7,3,1,0,2,104938
10,9,2,4,4,3,0,1,1,110386
11,3,1,17,6,4,0,1,2,95434
8,11,3,6,6,3,5,2,4,128245
3,5,4,18,6,3,0,0,5,140882
6,8,4,17,3,2,9,1,3,195781
10,12,2,13,7,3,0,1,2,121863
9,18,1,16,9,4,2,1,5,169875
3,6,1,1,1,1,6,2,3,137441
1,7,2,10,2,2,9,2,5,145680
3,1,2,18,5,1,2,1,4,139679
1,19,0,16,9,3,9,2,4,195879
4,11,4,19,7,0,0,2,1,191833
8,15,2,17,5,0,1,1,1,183037
8,2,4,10,4,0,3,2,2,96449
3,11,4,13,4,4,1,2,2,176640
2,15,4,15,0,4,7,2,1,130587
8,19,2,7,8,0,9,1,0,195914
0,0,0,17,5,3,0,1,3,132404
2,15,1,6,2,4,0,2,3,106715
4,14,3,14,3,4,8,1,3,165249
2,6,2,11,4,1,8,2,4,115016
9,1,4,9,3,1,0,1,0,155631
10,19,0,9,8,3,3,1,0,101910
5,19,0,11,4,1,1,1,3,174595
6,19,0,15,9,3,4,0,2,162130
5,6,3,5,9,3,7,0,2,96390
10,9,1,12,8,3,6,0,2,126479
4,14,2,18,7,3,3,1,3,97801
10,10,2,8,4,4,0,1,2,109054
11,20,3,5,0,4,8,2,3,169781
0,10,3,14,1,0,0,2,4,208646
1,15,1,16,5,0,2,1,5,183330
5,14,2,1,5,2,0,0,3,108336
10,19,3,1,9,0,8,1,4,227256
1,2,1,11,6,4,1,1,0,107637
2,11,0,6,2,4,1,2,2,119522
1,6,3,15,1,1,4,2,2,140322
10,9,1,6,9,3,8,0,0,129747
0,15,1,13,8,1,0,1,0,177571
4,19,1,13,3,1,1,1,2,201265
4,9,4,2,1,1,0,1,0,156439
7,2,2,2,4,3,0,2,3,90628
8,3,2,15,4,2,3,1,0,64981
10,20,2,16,4,2,0,1,0,151410
2,14,2,10,5,0,9,1,2,165835
0,2,2,19,1,2,3,2,2,95198
0,5,0,1,0,4,2,0,1,137431
7,16,3,13,9,1,5,1,4,185033
10,13,1,13,0,1,1,0,1,190709
11,6,0,18,8,2,8,0,1,137556
8,11,0,15,4,1,9,0,0,167407
11,2,4,13,2,4,9,2,3,154907
2,11,2,7,1,1,9,1,2,135976
9,17,3,13,1,3,8,1,4,199221
10,20,4,15,8,2,1,1,2,230064
2,14,2,7,5,0,6,0,0,123398
7,11,0,15,3,4,6,2,3,139549
4,8,2,17,4,2,9,0,2,161620
0,18,4,5,4,4,2,2,5,198334
0,18,1,19,8,1,7,0,2,203822
6,1,3,8,7,2,7,2,5,124457
5,19,3,9,3,0,5,1,4,170104
6,3,2,12,6,3,1,1,1,112180
0,16,2,12,4,3,1,0,2,190034
11,20,1,17,3,4,7,1,0,134164
1,6,4,2,8,1,3,0,2,102836
10,19,3,8,4,2,7,2,4,184296
9,2,0,2,6,0,2,1,4,154626
0,6,1,2,0,3,2,2,2,144251
1,7,3,3,8,3,2,0,5,137149
11,9,4,19,7,3,7,0,4,146938
1,5,0,17,6,3,8,0,0,123320
9,0,1,11,1,3,8,1,1,134026
4,18,2,1,0,2,8,1,1,142231
8,13,2,6,5,3,4,0,5,105890
1,14,2,16,2,2,7,0,4,134742
5,4,1,3,4,1,2,2,5,108126
11,10,2,7,1,4,7,0,4,101468
1,0,4,1,8,1,0,2,2,130539
4,2,0,5,5,4,1,1,2,117691
1,18,4,15,1,4,4,1,3,149844
11,15,3,19,1,3,3,2,2,110809
5,8,0,6,4,4,0,0,1,83766
1,4,3,10,2,4,6,1,1,109477
2,9,0,14,3,2,0,0,1,108324
7,15,4,13,7,4,3,2,4,102928
11,7,3,19,2,4,1,2,0,147787
1,11,2,4,1,4,1,0,1,115350
1,13,0,9,3,2,7,2,5,140621
8,5,0,13,3,1,5,2,4,137311
1,13,3,13,6,1,0,1,4,158688
2,6,4,9,5,3,2,1,2,128323
4,7,4,11,5,3,1,2,2,165720
4,8,4,10,2,0,3,2,2,127254
2,1,1,2,4,0,6,0,5,92159
11,10,1,16,8,4,6,1,1,110827
9,2,4,14,9,1,9,1,2,219009
6,16,0,1,2,4,0,2,0,128820
0,12,3,2,2,1,7,1,5,188148
4,19,2,13,8,3,4,0,2,139092
11,20,1,2,1,3,9,1,4,181163
0,13,0,17,7,3,1,1,0,187064
5,1,1,15,2,1,2,2,1,108647
1,1,3,15,3,4,0,0,5,101236
3,3,0,18,2,2,3,0,1,83283
1,6,4,2,1,4,5,2,2,117990
4,1,2,18,3,1,0,2,5,130034
7,19,4,5,8,1,9,0,3,250703
10,6,4,2,1,4,2,1,3,146721
5,18,2,11,9,1,7,2,3,136255
4,17,4,8,0,4,8,2,4,191907
2,12,1,17,7,3,6,2,1,110488
4,7,0,13,0,3,7,1,3,123192
11,4,4,2,2,3,6,0,3,113741
6,2,4,7,1,0,0,1,0,156479
6,4,2,18,6,0,6,2,4,145840
1,8,3,4,6,0,9,1,1,198275
2,20,1,17,6,4,3,0,1,81117
11,14,1,16,1,3,8,0,4,148132
4,3,2,13,0,4,8,1,2,116994
11,19,2,3,1,1,9,1,0,187563
11,19,4,12,8,4,4,0,2,148395
1,10,1,8,8,3,7,1,5,112533
8,20,2,19,5,3,8,1,3,150924
0,5,3,15,4,2,5,1,5,166919
11,6,0,14,5,3,6,1,5,116369
8,9,3,19,5,1,6,1,0,143344
2,8,0,18,7,0,7,2,1,134143
3,3,2,13,8,1,0,1,4,129285
7,9,2,1,7,1,8,2,3,149459
8,15,1,13,1,3,6,1,0,126045
